code,name,city,country,latitude,longitude,elevation
UTN,Upington,Upington,South Africa,-28.399097,21.260239,2782
UUS,Khomutovo,Yuzhno-sakhalinsk,Russia,46.888672,142.717531,59
UVA,Garner Field,Uvalde,United States,29.215429,-99.748962,942
UVE,Ouvea,Ouvea,New Caledonia,-20.640556,166.572778,23
UYN,Yulin Airport,Yulin,China,38.2692,109.731,0
UYU,Uyuni Airport,Uyuni,Bolivia,-20.466667,-66.833333,11990
VAN,Van,Van,Turkey,38.468219,43.3323,5480
VAS,Sivas,Sivas,Turkey,39.813828,36.903497,5236
VBV,Vanua Balavu Airport,Vanua Balavu,Fiji,-17.269,-178.976,76
VDZ,Valdez Pioneer Fld,Valdez,United States,61.133949,-146.248342,118
VEY,Vestmannaeyjar,Vestmannaeyjar,Iceland,63.424303,-20.278875,326
VHY,Charmeil,Vichy,France,46.169689,3.403736,817
VIC,Vicenza,Vicenza,Italy,45.573411,11.52955,128
VIG,Juan Pablo P├⌐rez Alfonso Airport,El Vig├¾a,Venezuela,8.6241,-71.672819,250
VIS,Visalia Municipal Airport,Visalia,United States,36.318611,-119.392778,295
VIT,Vitoria,Vitoria,Spain,42.882836,-2.724469,1682
VIX,Goiabeiras,Vitoria,Brazil,-20.258056,-40.286389,11
VKG,Rach Gia,Rach Gia,Vietnam,9.949676,105.133659,7
VLL,Valladolid,Valladolid,Spain,41.706111,-4.851944,2775
VLN,Arturo Michelena Intl,Valencia,Venezuela,10.149733,-67.9284,1417
VNS,Varanasi,Varanasi,India,25.452358,82.859342,266
VPN,Vopnafj├╢r├░ur Airport,Vopnafj├╢r├░ur,Iceland,65.7206,-14.8506,0
VRC,Virac Airport,Virac,Philippines,13.576439,124.205672,121
VRL,Vila Real,Vila Real,Portugal,41.274334,-7.720472,1805
VST,Vasteras,Vasteras,Sweden,59.589444,16.633611,21
VTS,Ventspils International Airport,Ventspils,Latvia,57.357778,21.544167,19
VTZ,Vishakhapatnam,Vishakhapatnam,India,17.721167,83.224483,15
VVI,Viru Viru Intl,Santa Cruz,Bolivia,-17.644756,-63.135364,1225
VVZ,Illizi Takhamalt,Illizi,Algeria,26.723536,8.622653,1778
VXE,Sao Pedro,Sao Vicente Island,Cape Verde,16.833689,-25.054661,66
VXO,Kronoberg,Vaxjo,Sweden,56.929144,14.727994,610
W04,Ocean Shores Municipal,Ocean Shores,United States,46.5995,-124.0854,15
WAA,Wales Airport,Wales,United States,65.6225,-168.095,22
WAL,Wallops Flight Facility,Wallops Island,United States,37.940194,-75.466389,40
WBW,Wilkes-Barre Wyoming Valley Airport,Wilkes-Barre,United States,41.2973074,-75.8522405,543
WDH,Windhoek Hosea Kutako International Airport,Windhoek,Namibia,-22.486667,17.4625,5640
WEF,Weifang Airport,Weifang,China,36.6467,119.119,0
WGA,Wagga Wagga,Wagga Wagga,Australia,-35.165278,147.466389,724
WJA,Woja Airport,Majuro Atoll,Marshall Islands,7.083,171.133,0
WKK,Aleknagik Airport,Aleknagik,United States,59.2826,-158.618,66
WLG,Wellington Intl,Wellington,New Zealand,-41.327221,174.805278,41
WMP,Mampikony Airport,Mampikony,Madagascar,-16.049,47.622,0
WNH,Wenshan Airport,Wenshan,China,23.375833,104.243056,1000
WNR,Windorah Airport,Windorah,Australia,-25.4131,142.667,452
WNS,Nawabshah,Nawabshah,Pakistan,26.219442,68.390053,95
WNZ,Wenzhou Yongqiang Airport,Wenzhou,China,27.9122,120.852,0
WOL,Wollongong Airport,Wollongong,Australia,-34.5611,150.789,31
WRG,Wrangell Airport,Wrangell,United States,56.4843,-132.37,44
WRL,Worland Municipal Airport,Worland,United States,43.9657,-107.951,4227
WRY,Westray Airport,Westray,United Kingdom,59.3503,-2.95,29
WRZ,Wirawila Airport,Wirawila,Sri Lanka,6.254494,81.235189,50
WSJ,San Juan - Uganik Seaplane Base,San Juan,United States,57.730278,-153.320556,0
WSP,Waspam Airport,Waspam,Nicaragua,14.737778,-83.975833,115
WTE,Wotje Atoll Airport,Wotje Atoll,Marshall Islands,9.46667,170.233,4
WTL,Tuntutuliak Airport,Tuntutuliak,United States,60.335278,-162.666944,16
WUS,Nanping Wuyishan Airport,Wuyishan,China,27.7019,118.001,614
WVB,Walvis Bay Airport,Walvis Bay,Namibia,-22.9799,14.6453,299
WVN,Wilhelmshaven Mariensiel,Wilhelmshaven,Germany,53.504833,8.053333,16
WWD,Cape May Co,Wildwood,United States,39.008507,-74.908275,23
WWT,Newtok Airport,Newtok,United States,60.939167,-164.641111,25
WYS,Yellowstone Airport,West Yellowstone,United States,44.688333,-111.1175,6644
X01,Everglades Airpark,Everglades,United States,25.8488611,-81.3902778,5
XAP,Chapeco,Chapeco,Brazil,-27.134219,-52.656553,2146
XAU,Saul Airport,Saul,French Guiana,3.61361,-53.2042,656
XAX,Dorval Railway Station,Dorval,Canada,45.448611,-73.74111,0
